,Covid_Death_Rate
,4
,2021
State,
RMI,0.0
FSM,0.0
AK,0.5213349844822578
UT,0.5542090440271518
VI,0.864
NE,1.0196944096219183
VT,1.0718020216103172
ID,1.090292876326896
WI,1.1431599666893784
MP,1.1904761904761905
WY,1.2159884420900553
CO,1.2319802100335444
MN,1.2568338277076545
ME,1.2741751990898749
NC,1.3045603412006368
OR,1.3500205614354046
WA,1.364380706629615
NH,1.3732268195518833
ND,1.3879727608023114
TN,1.4431293568678065
MT,1.4437082441162685
KY,1.4637704980782524
HI,1.4681592952835383
MO,1.5230333506733715
DE,1.5564388678703127
SD,1.6012143766526294
FL,1.6042834427235542
KS,1.611619706919419
OK,1.616806767634448
IA,1.630842940231662
VA,1.6315117787671845
SC,1.6473862986516374
CA,1.6803494311331302
GU,1.7053291536050157
TX,1.7069708214609918
AR,1.7094348052721722
NV,1.7321945992556382
NY,1.734250213106639
PR,1.7570845864805504
OH,1.7919797977345295
RI,1.8032421930339397
IL,1.8194756021287513
GA,1.8351425712174385
WV,1.847014070305697
IN,1.85057431377312
MD,1.954766471874024
AZ,2.0085866965334374
MI,2.009381532120544
AL,2.0535955632194622
NM,2.0568139865374016
LA,2.26394028535853
PA,2.2830297607523646
MS,2.313057946437142
DC,2.316707549741074
CT,2.386855052427093
MA,2.5599225173710587
NJ,2.5608007287369063
NYC,3.508902412996941
AS,
PW,
