State,Male COVID-19 Deaths,Female COVID-19 Deaths,All Sexes COVID-19 Deaths,Under 5 Years COVID-19 Deaths,Under 5 Years Population,5-14 Years COVID-19 Deaths,5-14 Years Population,15-24 Years COVID-19 Deaths,15-24 Years Population,25-34 Years COVID-19 Deaths,25-34 Years Population,35-44 Years COVID-19 Deaths,35-44 Years Population,45-54 Years COVID-19 Deaths,45-54 Years Population,55-64 Years COVID-19 Deaths,55-64 Years Population,65-74 Years COVID-19 Deaths,65-74 Years Population,75-84 Years COVID-19 Deaths,75-84 Years Population,85 Years and Over COVID-19 Deaths,85 Years and Over Population,All Ages COVID-19 Deaths,Total Population
USA,308080,253514,561594,35,19531315.0,99,40926765.0,857,42599542.0,3798,45775780.0,9823,41550175.0,27482,40800616.0,69495,42378661.0,124326,31433214.0,155247,15944990.0,170365,6592716.0,561594,327533774.0
AL,5609,4866,10475,0,294357.0,0,608466.0,11,635707.0,72,647229.0,207,593306.0,577,616616.0,1456,657667.0,2719,501447.0,3022,256847.0,2409,91543.0,10475,4903185.0
AK,193,132,325,0,51080.0,0,100662.0,0,96393.0,0,117588.0,10,95765.0,15,85130.0,40,93339.0,85,61300.0,94,23107.0,76,7181.0,325,731545.0
AZ,9177,6402,15579,0,429788.0,0,930745.0,44,973547.0,181,1007093.0,401,896027.0,989,852090.0,2273,880794.0,3716,751699.0,4444,411197.0,3520,145737.0,15579,7278717.0
AR,3076,2842,5918,0,188464.0,0,393213.0,0,397538.0,34,396868.0,88,370263.0,259,361582.0,712,385994.0,1334,302829.0,1749,161141.0,1735,59912.0,5918,3017804.0
CA,37417,25931,63348,0,2383716.0,0,5007987.0,140,5180973.0,649,6052952.0,1655,5282100.0,4460,4979745.0,10044,4786635.0,14395,3386670.0,15586,1701599.0,16404,749846.0,63348,39512223.0
CO,3613,2865,6478,0,332201.0,0,710322.0,18,743213.0,33,913354.0,91,798071.0,292,706150.0,637,713013.0,1305,522131.0,1827,230360.0,2271,89921.0,6478,5758736.0
CT,3894,4066,7960,0,181710.0,0,409000.0,0,478803.0,24,448029.0,60,427141.0,224,476905.0,709,513455.0,1380,352819.0,2108,186095.0,3448,91330.0,7960,3565287.0
DE,737,724,1461,0,54719.0,0,113975.0,0,117372.0,0,129080.0,0,113101.0,60,118881.0,157,137730.0,279,112858.0,430,55794.0,509,20254.0,1461,973764.0
FL,18602,14076,32678,0,1139742.0,0,2372397.0,48,2460558.0,200,2799422.0,520,2600531.0,1365,2709395.0,3772,2898355.0,7235,2465369.0,9919,1450514.0,9610,581454.0,32678,21477737.0
GA,9141,7844,16985,0,656566.0,0,1413003.0,32,1449500.0,136,1493261.0,344,1380954.0,955,1399652.0,2464,1307533.0,4276,926001.0,4923,439884.0,3847,151069.0,16985,10617423.0
HI,285,178,463,0,85219.0,0,167586.0,0,165937.0,0,199995.0,13,181803.0,27,167747.0,78,179137.0,112,152092.0,95,74688.0,129,41668.0,463,1415872.0
ID,1195,849,2044,0,116200.0,0,254788.0,0,241619.0,0,236490.0,20,227172.0,66,201766.0,173,218360.0,441,175866.0,634,85030.0,703,29774.0,2044,1787065.0
IL,11534,9615,21149,0,746934.0,0,1575745.0,34,1652607.0,151,1758096.0,365,1637135.0,1001,1599789.0,2347,1658283.0,4487,1176033.0,5635,600230.0,7123,266969.0,21149,12671821.0
IN,6547,6166,12713,0,418340.0,0,878981.0,10,930398.0,37,890687.0,133,828959.0,369,824029.0,1251,875082.0,2591,636737.0,3787,317937.0,4530,131069.0,12713,6732219.0
IA,3115,2853,5968,0,195636.0,0,408495.0,0,436415.0,21,398150.0,49,385215.0,164,362509.0,498,415696.0,1014,311447.0,1688,162833.0,2529,78674.0,5968,3155070.0
KS,2630,2226,4856,0,185331.0,0,396266.0,10,412813.0,23,382922.0,59,361029.0,179,327961.0,469,371505.0,937,272236.0,1380,137573.0,1799,65678.0,4856,2913314.0
